@relation wind_data-weka.filters.unsupervised.attribute.Remove-R1

@attribute WIND {'Gentle Breeze','Light Breeze','Light Air','Moderate Breeze',Calm}
@attribute IND numeric
@attribute RAIN {Slight,Moderate,Heavy}
@attribute IND.1 numeric
@attribute T.MAX numeric
@attribute IND.2 numeric
@attribute T.MIN numeric
@attribute T.MIN.G numeric

@data
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.829091,-0.389995,-0.6177,-0.686374
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.321138,-0.389995,-0.504631,-0.30158
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.684825,-0.389995,-1.341341,-0.594757
'Light Breeze',-0.333699,Slight,-0.310259,-1.663432,-0.389995,-1.363955,-1.089492
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.321138,0.469785,-1.793617,-1.877404
'Light Breeze',-0.333699,Slight,-0.310259,-1.470892,-0.389995,-1.183045,-0.86961
'Light Breeze',-0.333699,Slight,-0.310259,-0.893271,0.469785,-1.997141,-1.80411
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.449498,-0.389995,-0.753383,-0.503139
'Light Breeze',-0.333699,Slight,-0.310259,-1.406712,-0.389995,-0.911679,-0.649727
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.470892,-0.389995,-0.775997,-0.411521
'Light Breeze',-0.333699,Slight,-0.310259,-0.722124,0.469785,-2.155438,-1.914051
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.25147,0.469785,-2.200665,-0.001707
'Light Air',-0.333699,Slight,-0.310259,-0.05893,-0.389995,-0.210652,0.101538
'Light Air',-0.333699,Slight,-0.310259,-1.663432,0.469785,-2.178052,-1.620875
'Light Air',-0.333699,Slight,-0.310259,-1.920152,0.469785,-2.5851,-2.023992
'Light Breeze',-0.333699,Slight,-0.310259,-1.877366,0.469785,-2.40419,-2.023992
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.871878,-0.389995,-0.730769,-0.997874
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.700731,-0.389995,-0.482017,0.431361
'Light Air',-0.333699,Slight,-0.310259,-1.449498,-0.389995,-1.09259,-0.86961
'Light Air',-0.333699,Moderate,-0.310259,-0.871878,0.469785,-1.590093,-1.49261
'Light Breeze',-0.333699,Slight,-0.310259,-0.700731,-0.389995,-1.09259,-0.429845
'Light Breeze',-0.333699,Slight,-0.310259,-1.470892,-0.389995,-0.210652,-0.264933
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.470892,-0.389995,-0.210652,-0.100021
'Moderate Breeze',-0.333699,Slight,-0.310259,-1.727612,-0.389995,-0.685542,-0.411521
'Light Breeze',-0.333699,Slight,-0.310259,-1.941546,-0.389995,-0.956907,-0.30158
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.080323,-0.389995,-0.956907,-0.796316
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.230077,-0.389995,-0.6177,-0.008404
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.294257,-0.389995,-0.368948,-0.906257
'Moderate Breeze',-0.333699,Slight,-0.310259,-0.165897,-0.389995,-0.459404,-0.283257
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.192778,-0.389995,-0.6177,-0.356551
'Gentle Breeze',-0.333699,Slight,-0.310259,-1.321138,-0.389995,-0.979521,-0.594757
'Light Breeze',-0.333699,Slight,-0.310259,-1.000238,-0.389995,-1.228272,-0.906257
'Light Breeze',-0.333699,Slight,-0.310259,-1.128598,-0.389995,-1.228272,-0.319904
'Light Breeze',-0.333699,Slight,-0.310259,-1.128598,0.469785,-1.590093,-1.419316
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.444011,-0.389995,-1.45441,-0.704698
'Gentle Breeze',-0.333699,Slight,-0.310259,0.026643,-0.389995,-0.391562,-0.118345
'Moderate Breeze',-0.333699,Slight,-0.310259,-1.192778,-0.389995,-0.979521,-0.228286
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.37983,-0.389995,-0.730769,-0.374874
'Gentle Breeze',-0.333699,Slight,-0.310259,0.26197,-0.389995,-0.459404,-0.063374
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.358437,-0.389995,-0.007128,0.083214
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.572371,-0.389995,0.196396,0.064891
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.444011,-0.389995,0.196396,0.193155
'Gentle Breeze',-0.333699,Slight,-0.310259,0.454511,-0.389995,0.151169,0.284773
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.144503,-0.389995,0.535603,0.596273
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.016143,-0.389995,0.806969,0.907773
'Light Breeze',-0.333699,Slight,-0.310259,0.090823,-0.389995,-0.889066,-1.107816
'Light Air',-0.333699,Slight,-0.310259,-0.272864,-0.389995,-0.889066,-0.979551
'Light Breeze',-0.333699,Slight,-0.310259,-0.358437,-0.389995,-0.459404,-0.576433
'Light Breeze',-0.333699,Slight,-0.310259,-0.016143,-0.389995,-0.097583,0.284773
'Light Breeze',-0.333699,Slight,-0.310259,0.240577,-0.389995,0.39992,-0.576433
'Light Breeze',-0.333699,Slight,-0.310259,-0.05893,-0.389995,-0.25588,-0.777992
'Light Air',-0.333699,Slight,-0.310259,-1.021631,-0.389995,-0.391562,-0.887933
'Light Breeze',-0.333699,Slight,-0.310259,-1.256958,-0.389995,-0.301107,-0.045051
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.978845,-0.389995,-0.301107,-0.100021
'Light Breeze',-0.333699,Slight,-0.310259,-0.508191,-0.389995,-0.074969,0.303096
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.764911,-0.389995,-0.843838,-0.741345
'Moderate Breeze',-0.333699,Slight,-0.310259,0.240577,-0.389995,-0.278493,-0.319904
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.700731,-0.389995,-0.368948,-0.30158
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.593764,-0.389995,-0.595086,-0.374874
'Light Breeze',-0.333699,Slight,-0.310259,-0.144503,-0.389995,0.377307,0.413038
'Light Breeze',-0.333699,Slight,-0.310259,-0.25147,-0.389995,0.173783,0.284773
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.25147,-0.389995,-0.775997,-0.796316
'Light Breeze',-0.333699,Slight,-0.310259,-0.337044,-0.389995,-0.821224,-0.411521
'Light Breeze',-0.333699,Slight,-0.310259,0.818198,-0.389995,-1.45441,-1.089492
'Light Air',-0.333699,Slight,-0.310259,0.219184,-0.389995,-0.482017,-0.264933
'Light Air',-0.333699,Slight,-0.310259,0.283364,-0.389995,-0.097583,-0.081698
'Light Air',-0.333699,Slight,-0.310259,0.368937,-0.389995,-0.459404,-0.356551
'Light Air',-0.333699,Slight,-0.310259,0.176397,-0.389995,-0.074969,-0.209962
'Light Breeze',-0.333699,Slight,-0.310259,-0.337044,-0.389995,0.060714,0.193155
'Light Breeze',-0.333699,Slight,-0.310259,0.26197,-0.389995,-0.165424,-0.063374
'Gentle Breeze',-0.333699,Slight,-0.310259,0.00525,-0.389995,-0.368948,-0.001707
'Gentle Breeze',-0.333699,Slight,-0.310259,0.454511,-0.389995,0.920038,1.145979
'Light Breeze',-0.333699,Slight,-0.310259,0.454511,-0.389995,0.6939,0.413038
'Gentle Breeze',-0.333699,Slight,-0.310259,0.604264,-0.389995,0.151169,-0.411521
'Light Air',-0.333699,Slight,-0.310259,1.160491,-0.389995,-0.956907,-0.723021
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.786304,-0.389995,-0.979521,-0.777992
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.679337,-0.389995,-0.821224,-0.429845
'Light Breeze',-0.333699,Slight,1.488654,-0.807698,-0.389995,-0.708155,-0.796316
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.337044,-0.389995,-0.934293,-0.906257
'Light Breeze',-0.333699,Slight,-0.310259,-0.657944,-0.389995,-1.069976,-0.814639
'Light Breeze',-0.333699,Slight,-0.310259,-0.144503,-0.389995,-0.753383,-0.832963
'Light Breeze',-0.333699,Slight,-0.310259,-0.850484,-0.389995,-0.210652,0.413038
'Light Breeze',-0.333699,Slight,-0.310259,0.240577,-0.389995,-0.074969,0.449685
'Light Breeze',-0.333699,Slight,-0.310259,-0.25147,-0.389995,-0.730769,-0.796316
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.337044,-0.389995,0.445148,0.504655
'Light Breeze',-0.333699,Slight,-0.310259,-0.358437,0.469785,-1.635321,-1.419316
'Light Breeze',-0.333699,Slight,-0.310259,-0.016143,-0.389995,-1.363955,-0.979551
'Gentle Breeze',-0.333699,Slight,-0.310259,0.283364,1.329565,0.241624,0.504655
'Gentle Breeze',-0.333699,Slight,-0.310259,0.090823,-0.389995,0.6939,1.072685
'Gentle Breeze',-0.333699,Slight,-0.310259,0.240577,-0.389995,0.151169,-0.008404
'Gentle Breeze',-0.333699,Slight,-0.310259,0.06943,-0.389995,0.535603,0.907773
'Light Breeze',-0.333699,Slight,-0.310259,-0.657944,-0.389995,-0.278493,0.413038
'Light Breeze',-0.333699,Slight,-0.310259,-1.449498,-0.389995,-0.685542,0.083214
'Light Breeze',-0.333699,Slight,-0.310259,-0.550977,-0.389995,-0.595086,-0.209962
'Light Breeze',-0.333699,Slight,-0.310259,0.19779,-0.389995,-0.391562,0.266449
'Light Breeze',-0.333699,Slight,-0.310259,-0.337044,-0.389995,0.354693,0.651244
'Light Breeze',-0.333699,Slight,-0.310259,-0.679337,-0.389995,-1.205659,-0.594757
'Light Breeze',-0.333699,Slight,-0.310259,-0.272864,-0.389995,-0.595086,-0.649727
'Light Breeze',-0.333699,Slight,-0.310259,-0.294257,-0.389995,0.535603,1.017714
'Light Breeze',-0.333699,Slight,-0.310259,0.219184,-0.389995,0.671286,1.145979
'Light Breeze',-0.333699,Slight,-0.310259,0.582871,-0.389995,-0.6177,-0.539786
'Light Breeze',-0.333699,Slight,-0.310259,0.06943,-0.389995,0.897424,1.20095
'Light Breeze',-0.333699,Slight,-0.310259,0.347544,-0.389995,0.580831,0.064891
'Light Air',-0.333699,Slight,-0.310259,0.26197,-0.389995,0.128555,0.101538
'Light Air',-0.333699,Slight,-0.310259,-0.144503,-0.389995,-0.685542,-0.503139
'Light Air',-0.333699,Slight,-0.310259,-0.25147,-0.389995,-0.934293,-0.723021
'Light Air',-0.333699,Slight,-0.310259,0.454511,-0.389995,-0.595086,-0.649727
'Light Breeze',-0.333699,Slight,-0.310259,-0.572371,-0.389995,0.060714,0.156508
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.37983,-0.389995,0.264238,-0.704698
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.208684,-0.389995,0.241624,-0.001707
'Light Breeze',-0.333699,Slight,-0.310259,0.647051,-0.389995,0.445148,-0.209962
'Light Breeze',-0.333699,Slight,-0.310259,-0.165897,-0.389995,0.648672,0.193155
'Light Breeze',-0.333699,Slight,-0.310259,-0.12311,-0.389995,0.060714,-0.264933
'Light Breeze',-0.333699,Slight,-0.310259,0.090823,-0.389995,-0.911679,-0.906257
'Gentle Breeze',-0.333699,Moderate,-0.310259,-0.12311,-0.389995,0.286851,-0.30158
'Light Breeze',-0.333699,Slight,-0.310259,0.604264,-0.389995,0.060714,-0.521463
'Light Breeze',-0.333699,Slight,-0.310259,0.732624,-0.389995,0.173783,-0.209962
'Light Air',-0.333699,Slight,-0.310259,0.454511,-0.389995,-0.843838,-0.979551
